replica1,replica2,replica3,replica4,replica5
3.3634,3.425,3.3006,3.5358,2.7385
0.97458,1.5531,1.2338,1.8316,0.99439
10.211,10.193,9.7364,10.535,10.345
2.9587,2.3679,3.1523,3.6485,2.5984
2.4522,1.4215,1.401,1.0921,2.5819
17.747,16.314,17.41,16.268,17.321
4.5944,4.2797,4.8566,4.506,4.9273
8.3275,7.3032,7.3483,7.2681,7.4886
1.8296,2.3184,2.326,2.2215,2.1926
8.4369,8.898,8.1808,7.9326,8.2384
3.5009,2.9439,3.245,2.8605,3.5192
1.8473,1.3386,1.8967,1.2293,0.2874
0.60573,0.72874,0.90864,0.58283,-0.13469
-0.42626,-0.42138,-1.7117,-1.192,-0.94712
8.4269,9.3443,8.6085,8.6921,8.6561
3.304,2.9251,2.8182,3.3092,2.977
9.4293,9.298,9.0394,8.8138,8.997
8.9299,9.1382,8.1482,9.0281,8.714
1.3205,1.5792,2.0605,1.8546,1.8251
6.2237,6.078,6.4188,5.7504,5.7339
4.1979,4.9758,3.8669,4.2223,4.9636
0.29961,0.72975,0.60846,1.0143,1.4928
6.0487,6.1989,6.5224,6.4526,6.0758
10.934,11.52,10.499,11.507,11.477
3.5482,3.9692,3.8134,3.9862,3.3844
24.195,24.076,23.681,24.044,24.372
11.093,11.17,10.464,11.228,11.085
5.017,4.7572,4.2633,4.6061,4.9362
1.1345,0.66698,1.978,1.2989,0.53089
2.8668,2.4374,2.7886,2.3802,2.51
6.942,7.3707,7.0564,7.8341,7.5779
2.6923,1.8463,2.8404,2.0392,2.8561
13.788,13.746,14.323,14.179,13.995
2.3858,2.4437,3.4739,2.6427,1.7707
0.82445,1.5792,0.50484,1.1689,1.1609
21.988,21.58,21.682,21.342,22.407
6.7081,6.0876,5.2963,6.4123,6.2945
8.4644,7.5416,7.7042,8.1297,7.9695
5.4527,5.7695,6.0495,4.9585,4.79
13.788,13.044,13.827,13.19,13.372
3.2618,3.5363,3.2007,3.9391,3.7778
7.3087,6.4235,7.6443,7.4633,6.8154
9.4523,9.4326,9.4878,8.9308,9.1264
0.72928,0.65471,0.5996,0.67538,0.82627
4.4281,4.6845,4.506,4.1904,5.0215
9.0417,8.7914,9.3337,8.9074,9.167
0.98442,0.99916,0.53296,1.5311,1.4191
-0.04823,0.65206,0.01257,-0.55886,-0.00775
4.8715,5.7018,4.5687,5.4688,5.1084
13.683,14.008,13.803,14.169,14.51
2.4325,2.129,2.5926,2.4288,3.0883
8.7965,9.4785,9.6672,9.5253,9.5341
19.289,17.909,18.959,18.215,18.66
-0.53624,0.5178,-0.27318,0.48439,-0.14429
10.942,10.284,11.173,11.248,9.7618
9.1297,9.9327,8.677,8.6086,8.2486
24.316,24.127,24.474,24.935,25.101
5.0758,5.7789,5.9014,5.0844,5.7698
2.3632,3.1954,3.1258,3.0776,2.5901
8.4791,8.6062,7.9702,7.8121,8.2477
21.089,20.905,21.436,21.061,21.087
2.1313,1.5534,1.6949,1.0622,0.77323
9.7712,9.8158,9.4102,10.733,9.4877
7.7961,6.2659,7.2304,7.0383,7.6785
45.146,44.652,44.663,45.067,44.39
11.517,12.065,11.774,11.588,11.793
8.1705,8.5822,8.8142,9.0255,8.7938
3.9207,3.6948,4.1287,4.0764,4.5768
-1.6518,-1.4501,-2.4095,-1.4994,-1.9057
6.3091,5.5917,5.2529,5.9672,6.1949
7.7016,7.8238,7.5273,8.4875,7.7967
1.8318,1.0324,2.2806,1.8548,2.6207
4.0838,3.7371,5.1108,4.3465,4.7693
1.4455,1.305,1.3408,1.1968,0.72826
3.902,4.0304,3.2882,4.6572,4.1225
22.953,23.826,22.942,23.262,23.261
8.6267,8.8715,7.5765,8.5721,7.8756
-0.19107,-0.21607,-0.09112,-0.09086,0.58633
34.253,34.962,34.991,34.705,34.263
7.8075,8.6705,7.2495,7.6423,8.0232
7.2181,6.7514,7.5042,7.8108,8.3427
7.8568,8.5299,8.686,9.7777,8.7176
10.511,10.782,11.08,10.991,11.829
1.269,1.4747,0.7211,1.7793,0.91506
7.9562,8.3686,7.9175,7.4782,7.8867
3.5567,3.9905,3.5754,3.071,3.2253
5.2808,5.4637,6.2157,5.7289,6.8205
9.0995,9.8224,9.491,9.7649,9.6702
3.4901,3.2492,2.9355,3.2376,2.9638
5.2627,4.6059,5.7939,4.7491,5.0125
-1.1016,-1.2175,-1.4432,-1.0635,-1.4084
20.436,20.059,20.419,19.507,20.344
29.744,29.732,29.561,29.699,29.409
5.2038,6.9848,6.8788,5.6738,5.5045
6.3694,6.5059,6.1064,6.5369,6.1846
4.5332,4.0802,4.3883,4.4319,3.8353
25.625,26.153,26.997,26.158,26.425
3.2322,3.5824,3.2134,2.7923,2.769
4.024,4.0317,3.924,3.3936,4.2021
12.328,11.807,11.939,11.936,11.766
11.071,10.814,10.67,10.158,10.481
7.7972,7.9802,7.358,7.8391,7.4696
10.174,9.7258,10.421,10.224,10.306
8.1341,8.5714,8.4969,8.8938,9.1652
11.92,12.042,11.356,12.615,12.62
25.493,25.914,25.403,25.558,24.933
6.0559,6.3777,6.805,5.7893,6.2365
23.877,23.56,24.569,24.056,23.649
5.5504,5.9043,5.9962,5.5667,6.0177
7.8309,8.0702,8.0074,6.7063,6.2199
2.9004,3.4163,3.8585,3.2787,2.9447
5.4704,4.3224,5.3889,4.1637,5.2934
3.5905,3.7442,3.036,3.7317,3.969
4.5762,4.0196,4.4718,3.9412,5.162
15.293,15.073,14.991,15.34,15.668
10.347,10.272,9.5934,10.243,9.6578
9.2635,9.3442,9.4291,9.1764,9.5211
6.262,5.3584,5.9033,5.7517,5.1354
18.768,18.119,20.441,18.911,18.556
8.221,9.0673,8.2914,8.9098,8.5746
6.5376,5.4613,5.971,5.4676,5.5612
0.39625,-0.69815,-0.04667,-0.64721,-0.24147
6.4646,5.6264,5.9769,6.3533,6.0999
4.4678,4.7001,4.5672,4.1028,4.4265
10.27,10.743,10.446,11.164,9.9538
7.6545,7.2368,7.178,7.1202,7.546
2.6801,2.5113,3.1728,2.7472,3.0827
16.695,16.661,18.2,17.126,16.959
3.1284,3.2065,3.2297,3.6234,3.6776
5.7241,4.0009,3.9958,4.6901,3.4864
4.4213,3.7742,4.3902,5.0879,4.8063
11.379,11.107,10.336,11.018,11.096
11,10.547,10.377,10.146,10.625
8.7995,8.3035,9.117,8.516,9.6175
11.913,12.196,12.309,12.098,12.552
29.468,29.015,28.793,29.879,30.044
3.219,3.2422,3.0696,3.5483,3.2922
6.3404,6.7015,5.1333,5.9504,6.686
2.2054,1.6496,1.7002,1.2744,1.1358
0.80273,0.66716,0.85405,1.505,0.53666
8.7766,6.8136,6.7384,6.9017,7.3429
4.7932,4.8007,4.7759,5.0503,4.8195
