replica1,replica2,replica3,replica4,replica5,replica6,replica7,replica8,replica9,replica10,replica11,replica12,replica13,replica14,replica15,replica16,replica17,replica18,replica19,replica20,replica21,replica22,replica23,replica24,replica25
-31.1133,-32.8673,-32.686,-33.6749,-30.9519,-35.6675,-31.904,-30.6806,-30.5072,-26.1512,-38.5306,-33.2526,-33.5143,-33.9811,-28.1476,-29.1509,-24.9586,-32.1181,-29.8413,-33.2807,-33.9441,-31.3598,-32.325,-33.6878,-32.5729
-27.339,-28.2987,-25.4411,-26.3265,-36.2501,-26.285,-26.5478,-27.7521,-22.9298,-24.676,-26.7225,-24.6031,-26.6405,-26.1943,-26.2898,-26.1874,-24.2978,-26.7647,-25.6525,-27.3421,-23.9736,-27.6094,-26.1111,-25.1499,-26.2089
-30.6497,-32.2054,-32.7437,-32.0058,-32.9278,-29.8002,-33.3669,-28.6633,-28.545,-28.5865,-31.3348,-28.0457,-30.7258,-27.0811,-33.7001,-28.8434,-27.8307,-27.6899,-33.1353,-33.2782,-30.0638,-33.287,-32.0728,-32.8139,-31.2617
-38.4307,-30.3917,-36.1446,-30.5237,-30.6247,-33.1617,-31.3325,-32.2462,-29.6138,-30.4833,-33.8682,-30.5164,-30.6938,-30.788,-29.9607,-34.7614,-40.3485,-30.8156,-32.9781,-33.1577,-32.61,-35.3124,-31.0352,-30.3929,-30.8857
-24.3717,-29.6706,-30.5764,-28.9871,-30.7144,-27.7937,-30.7004,-31.4547,-28.0108,-29.92,-31.681,-24.837,-32.9566,-31.0136,-31.6483,-30.4195,-23.9209,-29.9721,-29.788,-32.1866,-30.6978,-32.7958,-22.6624,-27.904,-24.9857
-21.7903,-23.3056,-21.1799,-22.9918,-20.3985,-22.3168,-19.117,-19.6761,-22.0236,-20.0131,-20.5189,-22.8153,-22.5102,-22.2323,-21.5391,-21.2803,-20.682,-21.2755,-22.8331,-24.1071,-21.5941,-18.4067,-23.3849,-21.7595,-20.2412
-25.2826,-25.1654,-25.8532,-20.4938,-22.3873,-24.3237,-26.4758,-24.7437,-28.3096,-19.0608,-22.9823,-25.0725,-25.669,-22.2493,-21.1756,-24.7452,-22.8376,-20.3591,-22.8137,-20.4323,-22.3728,-21.9665,-21.0925,-23.2274,-23.4431
-31.8765,-33.7208,-40.4434,-36.8943,-30.2466,-41.717,-33.4501,-29.8571,-37.6363,-38.9745,-39.5795,-31.7129,-33.6372,-31.1953,-35.0462,-40.5569,-31.9994,-36.2857,-42.2697,-27.4341,-41.6488,-30.0159,-39.3385,-38.6327,-42.8994
-39.549,-36.438,-35.7666,-35.5244,-37.3956,-40.2754,-34.757,-38.4327,-38.1237,-37.8181,-41.433,-35.2611,-41.7764,-39.0885,-37.5596,-40.3336,-40.9397,-35.7655,-37.31,-38.0867,-38.9811,-37.3684,-37.0294,-40.1003,-36.7867
-28.9875,-29.6306,-32.8522,-30.7663,-31.4575,-31.883,-33.0545,-33.6195,-34.2939,-29.234,-30.9182,-30.7751,-33.8667,-31.8831,-29.4592,-29.8775,-33.2029,-26.6598,-27.4569,-33.8527,-32.2439,-33.4965,-33.9809,-25.6214,-34.972
-27.8683,-25.723,-29.0594,-24.9227,-25.8762,-29.8533,-33.3106,-26.7048,-27.8685,-32.7894,-30.308,-31.6836,-27.5924,-26.1989,-31.5669,-28.4302,-27.4702,-28.8608,-25.6583,-30.9555,-32.5712,-32.6964,-32.0952,-29.1253,-26.304
-23.7399,-27.1907,-28.5893,-28.9403,-30.9148,-28.5537,-25.9859,-23.7626,-28.2776,-29.9804,-27.3021,-26.754,-26.9059,-31.1671,-31.8728,-31.11,-31.1217,-25.7675,-22.2133,-27.7356,-26.435,-29.35,-28.6633,-28.6908,-27.4558
-34.7625,-32.3999,-32.4928,-33.2486,-33.6127,-32.6563,-31.1796,-32.0356,-31.8982,-32.0483,-36.2783,-31.2474,-30.018,-30.0683,-32.5476,-31.5724,-32.7526,-30.5259,-31.7217,-32.7894,-33.0774,-30.3745,-32.6972,-33.6307,-32.8655
-34.8528,-36.9503,-35.8021,-38.3352,-36.4381,-37.0044,-39.7688,-37.8293,-37.5321,-35.7625,-36.3754,-33.9746,-36.3026,-36.2036,-36.3096,-37.0812,-36.5502,-37.1459,-39.183,-38.128,-37.7114,-36.5635,-33.7681,-36.9836,-34.0485
